AccountID,Diposal_type,Age,sex,CARDTYPE,AVGSAL,UNEMPRATE,ENTREPENURNUMBER,TRANSSUM,LOANAMT,LOANSTATUS
9252,Owner,79,M,CLASSIC,8969,0.45,136,427168,25496,1
2617,Owner,60,M,CLASSIC,9194,0.67,111,849751,25687,1
7510,Owner,60,M,CLASSIC,10146,0.35,122,312567,25987,4
11257,Owner,46,M,CLASSIC,12324,0.05,107,463049,25987,4
11296,Owner,55,M,CLASSIC,9874,0.74,98,1159078,25987,1
2586,Owner,35,M,CLASSIC,9978,0.39,122,526341,26545,2
278,Owner,69,M,CLASSIC,9878,0.51,120,339784,26547,1
6274,Owner,48,M,CLASSIC,9879,0.48,132,1108614,26785,2
9047,Owner,39,M,CLASSIC,10257,0.08,150,1425001,30254,2
5325,Owner,60,M,CLASSIC,11424,0.87,151,995987,30258,1
4927,Owner,63,M,CLASSIC,8604,0.02,130,298745,40123,1
1668,Owner,44,M,CLASSIC,8562,1.43,147,558741,40463,2
8299,Owner,36,M,CLASSIC,12241,0.41,86,1017059,40526,2
10262,Owner,57,F,CLASSIC,10862,1.27,101,1028551,44021,3
6949,Owner,67,M,CLASSIC,11353,0.74,124,987452,45986,3
3190,Owner,79,F,CLASSIC,8978,0.73,142,1437156,46116,4
3112,Owner,38,M,CLASSIC,9059,0.39,101,978459,48948,1
6786,Owner,46,M,CLASSIC,11379,0.68,81,354270,48979,3
10874,Owner,62,F,CLASSIC,10666,0.01,115,1363984,50849,4
3367,Owner,46,M,CLASSIC,9998,0.98,89,856144,52367,1
9719,Owner,57,M,CLASSIC,11660,0.65,110,501236,55000,1
2616,Owner,49,F,GOLD,8686,0.01,84,1485690,55698,1
3861,Owner,51,M,CLASSIC,10351,1.2,131,859642,58991,4
3995,Owner,60,F,JUNIOR,8518,0.05,128,1526962,63631,1
8067,Owner,47,M,CLASSIC,11005,0.11,163,874596,64420,3
4622,Owner,77,F,JUNIOR,10937,1.26,121,525736,64565,4
10343,Owner,37,M,CLASSIC,10667,0.45,109,1056282,64987,3
1910,Owner,43,M,CLASSIC,9585,0.73,91,332597,65258,4
9631,Owner,34,M,CLASSIC,8313,0.36,109,725894,65498,2
1587,Owner,74,M,CLASSIC,11158,0.32,161,412569,65716,1
9807,Owner,54,M,CLASSIC,8965,0.57,84,289564,65897,3
8367,Owner,70,M,CLASSIC,8496,0.74,144,366744,65987,4
6929,Owner,37,F,JUNIOR,9941,1.62,107,1763807,68938,2
3705,Owner,77,M,CLASSIC,10595,0.67,128,659874,69241,3
347,Owner,77,M,CLASSIC,9585,0.88,126,1592468,70589,3
3367,Owner,37,M,CLASSIC,11561,0.21,120,820125,71569,2
622,Owner,61,F,GOLD,8795,0.08,158,985864,72094,1
1086,Owner,36,F,CLASSIC,11388,0.81,108,947068,73802,3
6059,Owner,52,M,CLASSIC,10256,0.76,85,839036,75487,3
2248,Owner,78,M,CLASSIC,11855,0.97,93,591595,76798,4
2138,Owner,79,F,CLASSIC,8954,0.07,94,987458,81563,3
7576,Owner,76,F,CLASSIC,8284,1.66,146,310782,82024,2
3934,Owner,40,M,CLASSIC,8640,0.02,142,506758,84587,2
1427,Owner,47,F,JUNIOR,8998,1.53,138,1469125,84597,2
9442,Owner,41,M,CLASSIC,8407,0.82,131,879748,88765,3
10285,Owner,62,F,GOLD,10292,1.91,93,313284,89603,1
2200,Owner,74,M,CLASSIC,11221,1.29,161,1399563,94221,3
4212,Owner,78,F,GOLD,8565,0.88,108,1337007,98548,4
8802,Owner,45,M,CLASSIC,9722,0.04,113,635297,98745,2
2839,Owner,64,F,CLASSIC,9543,-0.15,151,985631,99874,2
9598,Owner,41,F,JUNIOR,11225,0.04,106,1528281,102123,2
7663,Owner,37,F,GOLD,11140,0.01,165,819910,102148,1
10505,Owner,35,M,CLASSIC,11185,0.64,116,980605,102547,2
9495,Owner,41,M,CLASSIC,9353,0.07,107,562948,102589,2
11004,Owner,59,M,CLASSIC,8386,0.01,103,342284,104598,2
9171,Owner,41,M,CLASSIC,8662,0.04,83,1461016,105478,1
1985,Owner,67,F,CLASSIC,9909,1.81,102,305975,105772,2
7887,Owner,50,M,CLASSIC,9432,1.8,110,332266,105897,2
591,Owner,57,F,GOLD,12537,0.08,127,1115699,106313,3
3018,Owner,58,F,CLASSIC,10427,0.47,146,1504416,107898,2
4475,Owner,70,M,CLASSIC,10074,1.99,138,879458,108508,4
821,Owner,79,F,CLASSIC,9873,0.67,163,1025621,108745,2
6897,Owner,63,F,JUNIOR,9481,0.01,86,962893,117788,3
7362,Owner,53,F,CLASSIC,10183,1.23,85,1154905,120564,1
6801,Owner,79,F,GOLD,8249,1.71,96,905842,121546,1
9880,Owner,37,F,JUNIOR,10951,0.05,116,987485,124445,3
5717,Owner,43,F,CLASSIC,10256,0.02,132,714986,125728,1
1601,Owner,34,M,CLASSIC,10240,0.47,134,725896,125897,4
10471,Owner,37,F,GOLD,11754,0.01,149,947616,127802,2
4991,Owner,61,F,GOLD,9661,0.83,139,1784220,128179,4
1167,Owner,55,F,CLASSIC,8710,1.19,148,1061499,129404,4
9634,Owner,34,F,JUNIOR,11471,0.08,99,593923,131074,3
10256,Owner,71,M,CLASSIC,12345,0.77,85,905280,133038,4
3660,Owner,76,F,CLASSIC,10376,0.4,138,654786,134612,2
4661,Owner,52,F,GOLD,8956,0.89,135,1445862,136414,3
11269,Owner,42,M,CLASSIC,8729,0.18,98,1595392,141817,2
9723,Owner,48,M,CLASSIC,8758,0.97,148,1697475,145897,4
5335,Owner,51,M,CLASSIC,10149,0.1,158,1385495,146013,2
7505,Owner,37,F,JUNIOR,11253,1.62,136,1543651,157382,4
6371,Owner,67,F,CLASSIC,11670,0.02,120,1447935,160053,4
4483,Owner,42,M,CLASSIC,8981,0.87,112,474514,161346,3
5766,Owner,70,M,CLASSIC,8808,0.76,140,297845,162775,4
9952,Owner,69,F,CLASSIC,9860,0.09,163,989655,164624,4
5792,Owner,37,F,GOLD,12486,0.76,116,569166,167834,2
5675,Owner,62,F,JUNIOR,8369,0.01,122,436908,169762,2
9849,Owner,68,F,JUNIOR,12310,0.93,98,998745,171569,3
1470,Owner,51,M,CLASSIC,9966,0.02,92,664587,175428,2
2994,Owner,40,M,CLASSIC,9598,0.98,142,1117265,176199,3
1060,Owner,59,F,CLASSIC,8492,1.13,129,978541,184870,2
4833,Owner,57,F,CLASSIC,9865,-0.36,111,1503471,186182,4
579,Owner,76,M,CLASSIC,11432,0.01,82,748569,186509,3
8176,Owner,52,F,JUNIOR,9465,1.59,82,1263728,186793,1
5053,Owner,50,F,CLASSIC,10983,0.57,146,606711,194090,4
8850,Owner,78,F,JUNIOR,8389,1.26,134,400855,194715,1
1552,Owner,74,F,CLASSIC,9210,0.57,160,1457443,195332,3
1393,Owner,70,F,JUNIOR,9636,0.01,140,1324572,198096,4
384,Owner,55,F,CLASSIC,11195,0.43,140,631135,198324,4
6511,Owner,42,F,CLASSIC,11605,0.84,88,914123,199942,4
6245,Owner,37,F,JUNIOR,8945,0.08,82,1102589,201487,2
372,Owner,40,M,CLASSIC,9624,0.04,153,421521,202122,3
1747,Owner,79,F,CLASSIC,9845,0.01,110,482749,205987,4
10829,Owner,55,F,JUNIOR,8963,0.08,136,1701789,212225,3
3285,Owner,48,F,JUNIOR,10217,1.42,111,401643,212589,3
2075,Owner,62,F,CLASSIC,8625,0.01,128,640873,215478,4
6815,Owner,40,F,JUNIOR,11847,0.01,135,1528409,233837,1
411,Owner,77,F,CLASSIC,9017,-0.14,104,378480,236587,3
6356,Owner,43,F,GOLD,12041,0.5,134,973267,236587,4
6803,Owner,35,F,GOLD,9994,0.01,135,1189898,252255,4
5664,Owner,44,F,CLASSIC,11863,0.42,90,753186,254578,1
3034,Owner,42,F,GOLD,10206,0.05,125,1398799,256598,1
5862,Owner,40,F,GOLD,10566,1.55,161,1052369,256791,2
3221,Owner,74,F,CLASSIC,9405,0.36,135,1202541,258526,3
537,Owner,45,M,CLASSIC,11811,1.61,88,653764,258748,4
243,Owner,48,F,JUNIOR,8868,0.81,152,534097,258797,2
4096,Owner,61,M,CLASSIC,9874,0.07,167,987854,259784,4
5527,Owner,74,M,CLASSIC,10509,0.47,112,1200911,259784,2
3502,Owner,78,F,CLASSIC,9891,1.03,100,1513671,259896,2
3028,Owner,35,F,JUNIOR,11706,0.01,115,295252,265478,3
10826,Owner,60,F,CLASSIC,8869,0.58,105,527612,269482,3
4225,Owner,42,M,CLASSIC,11221,1.14,131,456598,269724,3
8560,Owner,74,M,CLASSIC,9878,0.02,87,573149,269874,3
9281,Owner,78,F,CLASSIC,8613,0.69,136,626049,272849,3
6673,Owner,69,M,CLASSIC,9069,0.64,119,1339818,276855,4
5284,Owner,66,F,GOLD,8308,0.04,127,1272262,278250,1
597,Owner,45,F,JUNIOR,10742,1.19,110,409878,278635,2
9589,Owner,77,F,GOLD,8965,1.53,127,445173,281951,2
10272,Owner,43,M,CLASSIC,8994,0.39,127,1364993,285288,3
2449,Owner,48,F,JUNIOR,8922,1.13,150,787211,289754,2
10174,Owner,48,F,CLASSIC,11712,0.9,154,674021,291182,1
873,Owner,52,M,CLASSIC,10251,0.56,99,841257,292411,2
6828,Owner,76,M,CLASSIC,10738,0.05,116,1386458,295218,3
3802,Owner,44,F,CLASSIC,11129,1.97,128,986582,297844,2
9640,Owner,75,F,JUNIOR,10987,2,148,654896,301151,1
7213,Owner,71,F,CLASSIC,8596,1.3,141,1154598,304733,2
4523,Owner,79,F,CLASSIC,8780,2.04,102,998584,307298,3
9287,Owner,46,F,CLASSIC,11884,-0.21,90,1279457,310733,3
9762,Owner,60,F,JUNIOR,10307,1.28,102,518564,313183,1
2735,Owner,43,F,CLASSIC,9517,0.24,102,352684,318734,3
9243,Owner,49,F,CLASSIC,9844,1.4,167,885264,321547,3
2078,Owner,66,F,JUNIOR,9613,0.01,106,1300741,334550,3
2198,Owner,72,F,GOLD,10256,0.05,127,293658,342421,4
1961,Owner,40,M,CLASSIC,9248,0.52,135,1036542,342576,4
4334,Owner,62,M,CLASSIC,9584,0.62,98,659874,350731,2
8772,Owner,77,F,JUNIOR,8775,0.01,134,589647,358927,3
8989,Owner,42,F,CLASSIC,10256,0.48,146,328335,361217,4
7538,Owner,75,F,JUNIOR,9843,1.86,135,276613,361931,1
6860,Owner,40,F,JUNIOR,12477,1.12,161,897848,165897,2
5553,Owner,77,M,CLASSIC,9898,0.4,101,298745,184597,2
9052,Owner,62,F,JUNIOR,8585,0.77,127,701567,195264,3
1004,Owner,47,F,CLASSIC,8328,0.74,108,623466,187897,2
10924,Owner,47,M,CLASSIC,9758,0.07,133,1286036,198564,2
3289,Owner,62,M,CLASSIC,8594,0.05,110,412597,202125,3
9655,Owner,44,F,CLASSIC,8347,1.54,163,1084476,222325,1
1137,Owner,71,M,CLASSIC,8311,0.2,131,304981,232425,4
2179,Owner,64,M,CLASSIC,11386,0.47,89,1381753,212526,3
2492,Owner,61,M,CLASSIC,9715,1.62,114,1146224,232524,2
6155,Owner,56,F,CLASSIC,11431,0.54,132,492419,222325,1
10856,Owner,66,F,CLASSIC,11092,0.01,114,635870,198966,4
6541,Owner,58,F,CLASSIC,12286,0.34,97,1598716,187459,4
5117,Owner,34,M,CLASSIC,11999,0.2,151,397845,212223,3
4440,Owner,44,F,CLASSIC,8788,1.68,153,938766,222324,2
2267,Owner,53,F,CLASSIC,11559,1.83,89,1455921,232425,4
2956,Owner,79,F,CLASSIC,8868,0.02,153,633650,242526,2
1807,Owner,71,F,CLASSIC,10563,1.82,128,915248,252624,3
6998,Owner,58,F,CLASSIC,9845,0.48,129,1319441,252627,4
9690,Owner,36,M,CLASSIC,10434,0.43,164,1789934,426161,3
8971,Owner,58,M,CLASSIC,11589,1.87,99,525299,473168,3
